year,county,race_or_ethnicity,all_deaths,arrest_related_deaths,in_custody_deaths,population,all_deaths_per_100000,arrest_related_deaths_per_100000,in_custody_deaths_per_100000
2005,Alameda,All Combined,12,0,12,1459881,0.82,0,0.82
2005,Alameda,Asian/Pacific Islander,1,0,1,359035,0.28,0,0.28
2005,Alameda,Black,8,0,8,194929,4.1,0,4.1
2005,Alameda,Hispanic,1,0,1,304762,0.33,0,0.33
2005,Alameda,Native American,0,0,0,4466,0,0,0
2005,Alameda,Other,0,0,0,48487,0,0,0
2005,Alameda,White,2,0,2,548204,0.36,0,0.36
2005,All Combined,All Combined,263,18,245,35985595,0.73,0.05,0.68
2005,All Combined,Asian/Pacific Islander,8,2,6,4436086,0.18,0.05,0.14
2005,All Combined,Black,74,3,71,2220261,3.33,0.14,3.2
2005,All Combined,Hispanic,87,11,76,12667798,0.69,0.09,0.6
2005,All Combined,Native American,1,0,1,171250,0.58,0,0.58
2005,All Combined,Other,0,0,0,774107,0,0,0
2005,All Combined,White,93,2,91,15716047,0.59,0.01,0.58
2005,Alpine,All Combined,0,0,0,1210,0,0,0
2005,Alpine,Asian/Pacific Islander,0,0,0,5,0,0,0
2005,Alpine,Black,0,0,0,1,0,0,0
2005,Alpine,Hispanic,0,0,0,89,0,0,0
2005,Alpine,Native American,0,0,0,204,0,0,0
2005,Alpine,Other,0,0,0,30,0,0,0
2005,Alpine,White,0,0,0,873,0,0,0
2005,Amador,All Combined,0,0,0,37723,0,0,0
2005,Amador,Asian/Pacific Islander,0,0,0,453,0,0,0
2005,Amador,Black,0,0,0,1262,0,0,0
2005,Amador,Hispanic,0,0,0,4061,0,0,0
2005,Amador,Native American,0,0,0,561,0,0,0
2005,Amador,Other,0,0,0,777,0,0,0
2005,Amador,White,0,0,0,30609,0,0,0
2005,Butte,All Combined,0,0,0,213701,0,0,0
2005,Butte,Asian/Pacific Islander,0,0,0,8305,0,0,0
2005,Butte,Black,0,0,0,2953,0,0,0
2005,Butte,Hispanic,0,0,0,25945,0,0,0
2005,Butte,Native American,0,0,0,3431,0,0,0
2005,Butte,Other,0,0,0,5906,0,0,0
2005,Butte,White,0,0,0,167157,0,0,0
2005,Calaveras,All Combined,0,0,0,44774,0,0,0
2005,Calaveras,Asian/Pacific Islander,0,0,0,519,0,0,0
2005,Calaveras,Black,0,0,0,349,0,0,0
2005,Calaveras,Hispanic,0,0,0,3908,0,0,0
2005,Calaveras,Native American,0,0,0,601,0,0,0
2005,Calaveras,Other,0,0,0,1081,0,0,0
2005,Calaveras,White,0,0,0,38312,0,0,0
2005,Colusa,All Combined,0,0,0,20565,0,0,0
2005,Colusa,Asian/Pacific Islander,0,0,0,341,0,0,0
2005,Colusa,Black,0,0,0,136,0,0,0
2005,Colusa,Hispanic,0,0,0,10425,0,0,0
2005,Colusa,Native American,0,0,0,308,0,0,0
2005,Colusa,Other,0,0,0,248,0,0,0
2005,Colusa,White,0,0,0,9110,0,0,0
2005,Contra Costa,All Combined,5,0,5,1004229,0.5,0,0.5
2005,Contra Costa,Asian/Pacific Islander,1,0,1,131364,0.76,0,0.76
2005,Contra Costa,Black,0,0,0,91737,0,0,0
2005,Contra Costa,Hispanic,1,0,1,211368,0.47,0,0.47
2005,Contra Costa,Native American,0,0,0,3335,0,0,0
2005,Contra Costa,Other,0,0,0,30837,0,0,0
2005,Contra Costa,White,3,0,3,535586,0.56,0,0.56
2005,Del Norte,All Combined,0,0,0,28316,0,0,0
2005,Del Norte,Asian/Pacific Islander,0,0,0,807,0,0,0
2005,Del Norte,Black,0,0,0,1052,0,0,0
2005,Del Norte,Hispanic,0,0,0,4473,0,0,0
2005,Del Norte,Native American,0,0,0,1766,0,0,0
2005,Del Norte,Other,0,0,0,925,0,0,0
2005,Del Norte,White,0,0,0,19293,0,0,0
