county,reporting_agency,agency_full_name,ncic_number_county,ncic_number_city,ncic_number_agency,date_of_birth_mm,date_of_birth_dd,date_of_birth_yyyy,race,gender,custody_status,custody_offense,date_of_death_yyyy,date_of_death_mm,date_of_death_dd,custodial_responsibility_at_time_of_death,location_where_cause_of_death_occurred,facility_death_occured,manner_of_death,means_of_death
Los Angeles,Police,Los Angeles Police Department,19,42,00,0,0,1947,White,Male,In Transit,342,1980,1,7,None,Not Applicable,Local Hospital,Accidental,Not Applicable
Los Angeles,Police,Los Angeles Police Department,19,42,00,0,0,1914,Hispanic,Male,Awaiting Booking,46,1980,1,8,None,Not Applicable,County jail,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,1,27,1956,Black,Male,Booked - Awaiting Trial,880,1980,1,11,County Jail,Common,Local Hospital,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,7,28,1943,Black,Male,Booked - Awaiting Trial,320,1980,1,14,Local Hospital,Medical Treatment,Local Hospital,Natural,Not Applicable
Fresno,Sheriff,Fresno County Sheriff's Department,10,00,00,3,12,1943,Hispanic,Male,Unknown,46,1980,1,20,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,8,28,1951,White,Male,Booked - Awaiting Trial,500,1980,1,20,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,3,3,1945,Black,Male,Booked - Awaiting Trial,370,1980,1,21,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Santa Clara,Sheriff,Santa Clara County Sheriff's Department,43,00,00,10,18,1931,Hispanic,Male,Booked - Awaiting Trial,100,1980,1,23,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Marin,State,San Quentin State Prison,21,01,5C,7,24,1935,Hispanic,Male,Sentenced,110,1980,1,23,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,0,0,1921,White,Male,Booked - Awaiting Trial,400,1980,1,23,County Jail,Medical Treatment,County jail,Natural,Not Applicable
Riverside,Sheriff,Riverside County Sheriff's Department,33,00,00,12,4,1945,White,Male,Booked - Awaiting Trial,100,1980,2,1,Local Hospital,Medical Treatment,Local Hospital,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,1,1,1938,Black,Male,Booked - No Charges Filed,320,1980,2,3,None,Not Applicable,Local Hospital,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Nevada,Sheriff,Nevada County Sheriff's Department,29,00,00,6,6,1948,White,Male,Booked - No Charges Filed,65,1980,2,5,County Jail,Living,Local Hospital,Accidental,Not Applicable
Alameda,Probation,Alameda County Probation Department,1,01,3G,5,27,1965,Black,Male,Booked - No Charges Filed,516,1980,2,5,Local Juvenile facility,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Sacramento,State,Folsom State Prison,34,01,5C,0,0,1933,Unknown,Male,Sentenced,0,1980,2,6,CDC/CRC,Living,CDC/CRC,Accidental,Not Applicable
San Joaquin,State,Deuel Vocational Institution,39,01,5C,9,6,1959,White,Male,Sentenced,0,1980,2,12,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
